Category,Model,RMSE,MAE,MAPE,Bias
FOODS,Croston SBA (Z-class),2.4878,1.3605,,0.0544
FOODS,ETS,3.0389,1.5449,67.8307,0.0972
FOODS,LightGBM,2.698,1.3496,63.0815,-0.6134
FOODS,Seasonal Naive,4.0524,2.0608,93.1349,0.0176
HOBBIES,Croston SBA (Z-class),2.154,0.8878,,-0.0651
HOBBIES,ETS,2.3346,0.9498,71.3921,0.0042
HOBBIES,LightGBM,2.277,0.7884,74.2712,-0.4688
HOBBIES,Seasonal Naive,3.0925,1.1633,94.6782,0.0095
HOUSEHOLD,Croston SBA (Z-class),1.3809,0.7649,,-0.0129
HOUSEHOLD,ETS,1.4841,0.8135,61.4574,-0.0019
HOUSEHOLD,LightGBM,1.4793,0.7057,69.47,-0.3587
HOUSEHOLD,Seasonal Naive,2.0233,1.0283,83.6944,-0.0345
